training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.69,0.86,1.0,0.5,0.37,0.37,or(and(or(!$MempoolSize_bin0 $TransactionPerDay_bin0) or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($MinningDifficulty_bin1 $TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or(!$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or($MarketCap_bin0 !$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or(!$MarketCap_bin1 !$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or($GTrends_bin4 !$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or($HashRate_bin3 !$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3 $HashRate_bin6) or(!$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.43,0.33,0.33,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$TransactionPerDay_bin1 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or($GoldPrice_bin3 !$MempoolSize_bin0 $TransactionPerDay_bin0) !$HashRate_bin9) 
0.69,0.86,1.0,0.5,0.37,0.37,and(or(and(or($MarketCap_bin0 !$TransactionPerDay_bin1) or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or(!$MempoolSize_bin0 $TransactionPerDay_bin0)) 
0.69,0.86,1.0,0.57,0.4,0.4,and(or(and(or(!$MarketCap_bin1 !$TransactionPerDay_bin1) or($TransactionFee_bin0 $TransactionVolume_USD_bin0) !$HashRate_bin9 !$TransactionPerDay_bin5 !$TransactionPerDay_bin8) $GoldPrice_bin3) or(!$MempoolSize_bin0 $TransactionPerDay_bin0)) 
